Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18
Gene1357	1	15	1	2	2	6	4	3	0	14	23	16	8	12	26	5	0	1
Gene1358	9	5	5	17	5	18	19	12	0	19	39	20	23	33	8	18	38	11
Gene1359	8	25	87	40	10	5	70	34	23	1	0	6	4	7	8	9	9	58
Gene1360	24	31	0	19	39	16	36	52	28	21	9	6	0	8	21	13	10	48
Gene1361	2	4	3	0	0	1	10	0	0	48	4	17	3	6	2	5	6	12
Gene1362	28	16	6	2	10	2	2	1	14	18	8	5	2	7	10	9	1	11
Gene1363	13	8	11	9	1	0	15	0	0	2	0	0	1	6	0	4	1	9
Gene1364	9	24	54	133	128	45	52	104	112	55	9	41	16	72	38	48	40	130
Gene1365	2	1	2	5	15	17	5	6	9	14	16	28	2	19	23	28	24	15
Gene1366	7	2	0	8	0	6	5	0	4	0	0	5	4	0	0	2	0	2
Gene1367	9	19	7	18	9	11	0	29	6	14	3	24	23	6	21	5	0	25
Gene1368	194	209	109	28	67	45	158	49	12	74	157	129	94	203	84	340	211	179
Gene1369	0	5	3	1	5	0	1	0	2	2	1	0	0	0	0	1	4	10
Gene1370	42	24	1	15	45	162	45	23	14	63	209	114	21	23	163	203	225	12
Gene1371	10	18	3	6	2	3	11	2	2	2	9	14	6	3	0	5	7	1
Gene1372	123	100	122	135	61	46	8	42	108	48	57	65	69	68	98	22	7	88
Gene1373	77	31	87	69	55	22	50	32	11	22	101	55	76	115	51	35	100	48
Gene1374	10	119	146	129	77	11	89	103	81	13	4	9	27	27	58	36	19	77
Gene1375	19	8	2	7	15	18	2	8	3	36	9	5	0	2	14	14	7	9
Gene1376	35	99	59	42	12	129	67	51	68	155	112	204	129	175	41	42	202	30
Gene1377	67	43	13	37	54	74	3	42	73	367	178	273	255	142	189	103	15	26
Gene1378	13	57	48	16	65	102	68	28	3	145	198	137	200	113	137	110	45	38
Gene1379	7	31	42	17	38	0	25	19	16	2	0	7	13	3	4	3	3	36
Gene1380	45	38	5	32	32	55	57	39	21	54	20	52	5	65	9	16	77	40
Gene1381	51	50	54	66	13	129	34	40	127	128	76	191	76	40	15	93	46	42
Gene1382	30	33	40	25	79	38	4	27	112	85	86	60	16	54	56	111	2	35
Gene1383	0	0	0	5	0	0	0	4	0	1	2	0	2	1	5	6	0	0
Gene1384	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
Gene1385	37	71	5	26	47	235	132	51	116	267	285	141	24	182	159	354	742	40
Gene1386	0	1	0	0	2	0	0	0	0	1	0	0	0	1	0	0	1	1
Gene1387	14	3	3	2	1	0	0	3	15	0	0	2	5	0	0	1	0	1
Gene1388	30	22	22	10	11	10	23	13	2	5	26	9	7	8	13	23	7	20
Gene1389	0	0	2	3	3	4	2	3	3	0	0	1	7	0	1	3	0	2
Gene1390	9	22	0	2	19	2	16	12	11	3	4	2	0	1	3	1	2	32
Gene1391	54	20	16	2	7	12	26	18	54	6	2	5	3	4	1	18	18	14
Gene1392	13	3	0	5	9	11	0	1	11	42	45	47	28	56	54	11	6	13
Gene1393	3	19	18	8	11	3	3	6	0	1	3	2	0	0	22	7	0	25
Gene1394	1	17	27	5	11	22	1	15	5	7	0	13	9	6	3	4	5	4
Gene1395	34	10	1	13	18	23	36	26	7	13	11	1	0	9	8	16	9	8
Gene1396	0	0	1	0	0	0	4	12	0	0	0	0	0	0	0	0	1	1
Gene1397	71	107	144	252	175	101	8	63	155	143	238	131	215	244	151	104	8	92
Gene1398	0	13	0	4	0	5	0	2	1	1	0	6	0	0	0	0	0	0
Gene1399	0	0	2	0	4	2	1	0	3	3	0	1	2	1	0	3	7	0
Gene1400	319	221	8	249	239	301	189	131	242	761	673	362	22	422	495	723	833	335
Gene1401	53	98	79	54	3	51	59	142	61	77	33	67	64	19	8	55	68	97
Gene1402	24	35	14	9	24	26	1	16	14	22	14	28	54	44	50	29	3	37
Gene1403	7	13	17	13	56	9	12	1	6	2	5	21	17	26	2	16	15	33
Gene1404	3	10	13	12	16	30	4	12	12	12	4	2	8	12	3	11	14	3
Gene1405	1	1	0	0	5	13	4	0	0	3	9	1	0	12	3	0	9	5
Gene1406	18	59	38	66	4	542	33	24	48	378	413	275	318	220	21	64	207	39
Gene1407	0	5	0	0	1	1	0	0	1	0	0	0	1	0	4	0	0	9
Gene1408	39	83	85	36	50	49	73	89	7	22	59	41	85	26	32	106	82	87
Gene1409	1	29	37	29	14	41	15	71	53	35	2	47	53	52	125	64	45	39
Gene1410	29	13	0	11	10	18	34	25	30	32	9	8	9	23	25	54	26	22
Gene1411	43	72	34	26	4	21	17	31	51	26	23	30	35	40	3	35	32	4
Gene1412	180	117	65	53	133	22	8	64	142	28	9	19	9	29	22	25	1	105
Gene1413	0	23	9	1	0	2	1	3	0	0	2	1	1	0	0	6	0	6
Gene1414	0	5	33	11	17	6	5	15	23	5	1	5	14	7	2	1	2	2
Gene1415	116	34	10	65	45	28	71	99	109	118	32	66	8	31	59	127	43	101
Gene1416	25	31	14	1	0	57	20	18	2	17	19	70	41	16	3	17	40	22
Gene1417	103	176	48	77	116	5	5	71	80	34	14	22	11	9	4	23	4	101
Gene1418	21	11	15	17	16	2	14	12	6	3	8	12	10	12	15	9	12	29
Gene1419	0	3	27	36	12	7	8	20	21	2	2	3	5	2	1	6	0	3
Gene1420	0	0	0	0	2	1	0	2	1	0	3	0	0	3	2	0	0	0
Gene1421	6	32	19	9	4	71	47	15	14	65	94	380	56	22	12	24	177	5
Gene1422	28	50	25	56	62	101	5	26	48	108	138	81	44	101	148	105	10	30
Gene1423	26	3	16	6	26	0	2	2	1	5	1	6	4	4	1	10	6	20
Gene1424	2	13	31	24	24	59	24	44	60	77	4	45	70	104	84	56	123	24
Gene1425	6	1	2	3	7	0	5	20	2	2	0	0	0	5	3	2	2	21
Gene1426	0	9	0	0	3	1	1	2	12	1	3	2	2	0	0	2	1	6
Gene1427	27	18	24	35	57	33	3	37	10	30	56	71	47	41	93	48	13	11
Gene1428	48	114	83	96	82	44	109	88	8	56	59	77	57	28	56	53	56	119
Gene1429	0	0	0	0	0	0	6	0	0	0	0	5	0	2	2	1	0	0
Gene1430	22	6	0	7	10	27	12	5	27	29	18	11	1	12	20	22	14	6
Gene1431	87	190	84	100	19	115	164	94	129	129	154	188	114	69	8	102	161	159
Gene1432	50	61	29	57	71	11	10	43	59	26	25	41	48	43	33	46	3	44
Gene1433	10	18	12	7	2	33	9	11	3	11	14	28	39	47	32	36	120	21
Gene1434	0	1	20	3	9	0	7	15	9	4	0	0	0	3	1	1	1	12
Gene1435	3	3	0	0	4	3	1	2	1	5	1	2	0	3	2	54	0	5
Gene1436	14	5	15	4	3	8	25	18	29	46	1	38	19	14	1	13	4	13
Gene1437	66	18	42	18	45	10	2	16	30	15	19	16	10	13	9	9	1	24
Gene1438	25	0	7	0	0	4	3	4	1	0	4	2	1	9	13	2	7	18
Gene1439	10	29	75	61	159	154	49	63	93	97	23	123	140	175	222	93	74	102
Gene1440	43	61	6	17	69	30	29	85	36	29	76	41	4	45	19	81	84	35
Gene1441	20	34	29	68	6	9	28	49	31	15	12	4	20	19	5	9	34	21
Gene1442	116	98	105	54	101	84	10	102	184	561	387	287	156	388	351	234	21	115
Gene1443	3	2	4	10	1	42	14	6	0	4	20	2	16	27	103	8	18	12
Gene1444	0	11	5	18	8	4	17	4	26	4	1	5	3	33	85	42	11	6
Gene1445	19	6	0	21	9	4	13	40	4	43	12	66	5	15	23	14	13	8
Gene1446	38	32	17	7	6	15	20	67	38	24	22	16	24	24	2	10	36	29
Gene1447	8	4	25	18	32	1	4	0	14	6	2	3	0	5	7	4	0	5
Gene1448	61	90	27	24	22	12	70	20	3	32	5	20	29	20	5	18	8	59
Gene1449	0	0	4	2	0	8	2	0	3	0	0	4	1	33	1	2	0	0
Gene1450	7	3	0	6	17	0	3	35	0	18	18	1	0	1	5	11	1	3
Gene1451	11	58	23	16	0	100	9	5	36	96	81	59	180	75	3	78	184	11
Gene1452	13	17	9	4	8	2	0	6	15	10	15	12	6	7	0	3	3	1
Gene1453	4	0	26	3	1	2	13	4	2	2	53	0	11	0	15	9	1	1
Gene1454	0	2	2	12	0	8	7	1	6	5	0	3	6	3	3	0	0	1
Gene1455	25	7	0	11	14	5	30	21	7	18	45	13	0	29	45	13	88	18
Gene1456	2	5	7	6	0	9	10	11	4	4	2	11	3	3	0	13	5	0
Gene1457	66	36	21	7	72	76	1	8	20	76	208	64	59	90	124	167	9	24
Gene1458	29	3	11	1	5	5	11	1	1	6	5	11	0	0	3	17	1	3
Gene1459	1	22	7	20	16	19	9	18	16	10	1	1	5	34	7	13	22	34
Gene1460	51	38	7	71	71	1186	90	99	50	456	882	461	30	379	435	609	301	49
Gene1461	42	47	25	10	5	15	30	41	19	5	8	13	23	16	0	16	15	22
Gene1462	7	2	0	2	2	28	0	0	0	65	82	1	0	81	2	20	7	4
Gene1463	11	3	7	19	2	8	4	0	2	6	1	9	4	7	3	4	3	9
Gene1464	2	4	35	13	45	20	21	19	24	39	1	10	88	57	69	31	55	37
Gene1465	79	103	8	142	183	49	173	136	39	75	94	52	2	141	66	202	91	232
Gene1466	36	36	29	16	1	32	8	59	19	50	18	35	68	72	4	45	15	9
Gene1467	70	111	58	108	97	4	5	73	84	23	39	48	10	27	18	27	7	117
Gene1468	8	7	18	0	2	13	5	11	1	3	14	1	4	6	2	2	38	13
Gene1469	54	258	593	675	1137	347	627	512	462	691	102	1204	904	1056	1782	1773	1916	742
Gene1470	42	17	6	25	37	13	26	64	29	15	16	8	3	10	13	18	19	24
Gene1471	0	0	0	2	0	0	0	0	4	0	1	0	0	1	0	0	0	0
Gene1472	14	0	4	5	0	0	1	2	8	5	0	4	3	0	3	0	0	1
Gene1473	7	30	13	24	4	2	0	8	2	6	0	7	9	6	3	0	21	4
Gene1474	5	28	42	38	13	56	24	29	108	32	5	13	79	36	49	48	22	37
Gene1475	0	1	0	3	0	1	5	3	4	1	0	1	0	0	0	0	1	13
Gene1476	682	580	1062	393	104	864	1456	1021	757	980	542	683	803	651	36	481	388	352
Gene1477	17	6	6	4	7	0	1	5	2	0	2	1	2	0	3	0	0	1
Gene1478	4	13	12	11	16	5	4	10	0	2	1	1	8	3	0	8	2	17
Gene1479	0	5	2	4	9	6	9	4	9	11	0	11	46	8	2	4	14	1
Gene1480	36	9	1	10	4	202	15	35	8	203	83	151	16	42	221	215	29	34
Gene1481	21	21	6	16	1	41	20	12	10	98	52	46	70	49	7	59	34	9
Gene1482	112	238	83	196	181	134	3	166	210	205	267	324	188	165	205	146	23	70
Gene1483	1	0	4	0	1	0	1	2	0	1	0	0	0	0	0	5	0	0
Gene1484	0	2	5	5	8	25	27	11	12	5	1	8	15	6	5	6	25	12
Gene1485	8	12	1	5	6	10	22	1	0	17	30	3	2	5	38	44	18	2
Gene1486	36	54	42	10	1	11	60	20	36	21	10	32	23	12	0	30	12	0
Gene1487	17	48	11	25	19	15	4	10	40	15	23	10	22	14	19	16	3	6
Gene1488	0	0	0	4	7	0	2	2	0	0	1	0	0	1	1	5	1	0
Gene1489	1	9	15	26	14	19	5	8	26	58	12	28	20	62	55	67	44	2
Gene1490	12	0	1	3	0	11	2	12	11	8	19	7	0	5	25	2	5	16
Gene1491	42	50	19	27	0	9	24	22	69	9	7	6	14	8	3	12	12	8
Gene1492	378	196	372	377	412	269	35	117	391	454	382	272	598	324	382	351	10	193
Gene1493	2	10	11	0	2	8	6	2	2	4	1	11	1	0	7	0	4	6
Gene1494	0	5	10	4	0	41	6	3	10	2	2	10	36	14	49	9	14	1
Gene1495	0	21	0	3	0	3	1	0	1	2	2	6	1	1	0	5	19	4
Gene1496	38	62	142	26	4	422	97	62	64	524	133	264	306	108	31	240	366	67
Gene1497	34	36	6	30	39	15	2	11	40	58	33	66	50	48	141	38	6	13
Gene1498	53	18	17	19	32	1	31	12	1	8	6	8	1	9	6	7	6	24
Gene1499	2	3	6	42	8	4	0	13	6	7	0	24	15	8	28	17	12	23
Gene1500	62	6	0	3	23	49	34	35	7	45	8	24	10	13	45	20	24	28
Gene1501	22	35	38	20	4	20	24	41	49	34	21	27	40	11	1	11	33	9
Gene1502	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Gene1503	644	953	747	765	901	169	675	723	89	126	367	196	472	178	150	131	187	842
Gene1504	1	6	27	2	19	14	6	18	4	8	0	12	0	5	4	35	7	23
Gene1505	234	117	16	217	244	233	350	157	311	70	83	68	10	84	163	143	134	380
Gene1506	87	14	45	25	1	136	63	50	40	107	90	127	68	67	4	126	136	47
Gene1507	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene1508	1	1	14	2	8	0	11	11	0	1	0	0	3	0	0	1	0	0
Gene1509	0	3	0	0	0	1	1	3	5	0	0	0	0	2	1	3	2	4
Gene1510	58	27	4	38	48	101	75	34	35	56	82	51	5	67	24	56	55	27
Gene1511	2	13	0	4	1	0	2	6	4	0	0	0	1	0	0	2	0	5
Gene1512	130	427	199	261	262	139	9	198	279	155	201	348	152	166	223	148	13	108
Gene1513	12	3	5	13	26	4	2	11	0	9	4	6	9	1	1	12	9	10
Gene1514	3	2	13	15	8	7	38	13	24	6	0	5	1	2	2	6	3	11
Gene1515	17	16	0	8	11	47	2	20	10	51	39	25	9	9	36	2	80	6
Gene1516	20	37	12	3	1	8	16	16	20	6	1	6	10	5	1	11	23	3
Gene1517	182	79	58	112	185	14	6	80	150	8	16	14	15	16	11	8	0	51
Gene1518	72	92	59	74	79	112	112	30	4	80	179	100	186	92	78	88	255	103
Gene1519	1	15	12	12	22	2	16	1	18	2	0	0	1	12	2	1	7	11
Gene1520	18	38	11	24	85	22	44	14	24	15	13	43	2	12	15	28	11	51
Gene1521	26	73	36	43	5	67	57	51	102	85	71	40	103	62	11	35	77	21
Gene1522	56	121	26	46	110	90	3	30	35	79	175	176	93	224	106	138	7	49
Gene1523	13	5	19	1	5	2	20	7	0	3	6	4	16	8	5	8	3	8
Gene1524	8	104	146	142	100	45	90	52	137	33	5	81	86	121	136	114	58	75
Gene1525	23	4	0	7	27	47	3	6	13	15	26	77	1	30	10	87	21	4
Gene1526	400	732	1212	432	61	418	777	764	851	378	207	205	323	135	21	403	182	315
Gene1527	51	40	12	42	60	57	6	13	17	40	211	38	76	42	56	43	9	28
Gene1528	13	11	14	16	36	10	19	8	2	1	4	9	0	4	4	10	18	26
Gene1529	0	20	28	62	44	40	30	97	58	49	5	47	26	55	89	15	44	80
Gene1530	0	1	0	0	0	3	2	2	0	5	9	0	0	1	0	0	0	0
Gene1531	1	5	0	8	0	0	5	0	1	4	7	3	0	1	0	0	4	15
Gene1532	35	25	2	36	28	233	3	30	38	294	515	201	347	249	285	206	27	15
Gene1533	13	37	5	14	25	71	16	17	2	48	29	66	28	52	69	85	96	10
Gene1534	1	17	48	69	45	403	14	12	72	200	24	182	486	234	796	329	549	32
Gene1535	2	4	0	4	12	1	1	9	5	2	0	0	0	1	0	0	0	14
Gene1536	15	17	5	10	1	1	11	6	5	17	8	35	14	6	1	6	3	0
Gene1537	2	3	17	1	1	7	0	1	1	3	10	2	5	16	6	4	0	4
Gene1538	30	18	3	27	16	10	38	17	1	30	11	28	20	2	19	23	25	18
Gene1539	0	19	47	32	42	37	33	15	34	11	0	7	10	12	9	14	7	34
Gene1540	16	7	7	30	30	3	26	14	10	2	6	3	2	3	7	11	1	14
Gene1541	85	130	102	81	6	53	164	104	116	74	79	128	78	25	3	33	76	61
Gene1542	36	72	20	58	146	32	6	61	28	47	128	66	47	111	46	67	6	61
Gene1543	16	1	0	2	0	1	3	1	0	0	1	0	0	3	0	2	0	0
Gene1544	8	25	32	56	55	7	44	97	60	22	1	9	45	31	23	56	16	51
Gene1545	55	152	8	96	156	220	167	164	210	290	291	272	23	223	448	363	305	141
Gene1546	2	47	3	0	0	2	1	19	0	4	1	2	2	1	0	0	8	4
Gene1547	5	2	0	0	7	0	0	3	6	1	3	0	0	0	7	1	0	0
Gene1548	143	104	190	157	72	46	192	135	9	17	38	45	41	32	36	57	113	108
Gene1549	3	12	3	17	10	69	3	26	7	53	12	37	19	44	34	169	90	4
Gene1550	28	13	6	30	95	16	27	29	91	35	9	8	2	5	30	12	26	44
Gene1551	2	11	4	1	0	0	1	0	2	0	0	0	3	0	1	0	0	2
Gene1552	50	55	8	30	16	29	2	25	23	111	128	122	97	83	69	91	6	18
Gene1553	7	1	12	3	21	12	0	2	0	1	18	7	5	14	6	5	4	10
Gene1554	2	0	1	5	0	12	4	7	10	4	1	2	7	3	17	21	4	9
Gene1555	110	83	10	11	125	179	182	134	111	157	144	111	15	156	107	321	161	131
Gene1556	224	308	274	111	17	66	70	304	202	56	56	28	30	25	1	27	57	228
Gene1557	3	5	10	5	21	3	1	17	8	5	6	21	4	3	7	9	1	5
Gene1558	0	0	2	1	1	0	0	0	0	0	0	0	0	2	9	0	0	0
Gene1559	7	57	177	147	161	116	84	54	134	112	11	115	190	152	281	71	158	142
Gene1560	127	85	6	76	174	56	121	87	89	71	39	72	6	21	39	35	58	89
Gene1561	16	2	9	5	3	61	1	16	4	80	18	8	6	5	1	68	5	3
Gene1562	25	57	21	40	16	40	0	14	40	34	82	39	3	87	33	13	6	11
Gene1563	1	2	9	16	11	38	7	2	0	0	46	23	10	17	40	75	43	11
Gene1564	5	24	68	54	43	58	30	49	28	45	5	18	25	33	61	112	85	47
Gene1565	30	102	3	51	73	138	87	154	50	314	105	181	7	100	95	103	236	63
Gene1566	9	2	24	2	1	47	10	22	0	3	10	43	18	10	0	4	45	3
Gene1567	8	19	46	22	19	24	2	32	15	9	10	26	7	27	20	8	3	9
Gene1568	87	135	122	77	115	228	64	95	7	360	154	188	311	383	245	293	308	145
Gene1569	0	25	47	26	16	231	20	25	58	450	33	833	487	285	500	364	296	23
Gene1570	0	1	0	10	3	4	10	6	0	0	0	5	1	1	4	9	1	2
Gene1571	5	13	9	3	0	23	3	1	6	13	2	10	15	9	1	12	1	4
Gene1572	12	1	0	12	0	1	0	3	17	1	0	0	1	0	0	0	0	1
Gene1573	1	6	7	6	2	2	4	1	1	11	0	0	1	0	0	2	9	0
Gene1574	2	28	70	46	50	10	27	11	79	36	2	41	13	31	34	21	7	32
Gene1575	101	30	6	103	68	131	122	111	49	35	122	179	10	73	247	118	81	67
Gene1576	23	9	31	12	0	1	11	14	32	8	1	2	3	3	1	2	3	3
Gene1577	0	1	2	1	0	0	0	3	2	0	1	7	0	1	4	5	0	6
Gene1578	164	82	58	76	191	205	209	281	24	217	343	181	258	421	126	251	406	59
Gene1579	1	18	7	13	11	118	10	27	19	18	6	67	30	140	56	47	59	8
Gene1580	51	56	10	47	81	86	79	47	67	77	75	39	12	115	111	54	100	89
Gene1581	30	12	38	5	0	45	16	27	21	24	15	10	28	20	0	4	19	14
Gene1582	78	88	125	124	122	133	8	38	62	134	301	172	135	223	291	196	33	84
Gene1583	87	86	143	44	60	306	92	83	3	105	224	364	214	248	90	317	325	79
Gene1584	0	3	8	17	2	2	10	0	5	0	0	0	2	0	1	1	1	3
Gene1585	5	16	1	12	19	48	12	11	5	47	22	61	9	26	132	163	134	38
Gene1586	1	11	22	8	1	13	10	2	13	31	25	23	23	6	1	33	2	5
Gene1587	54	36	20	26	12	64	1	18	39	101	63	79	54	216	61	108	3	26
Gene1588	19	21	12	7	6	35	2	18	0	30	3	14	28	34	30	23	74	11
Gene1589	6	59	38	75	76	13	56	92	106	10	1	8	7	4	9	21	21	106
Gene1590	111	27	5	30	95	33	68	32	52	18	50	20	0	18	17	20	44	27
Gene1591	6	10	0	6	0	1	3	1	2	1	1	0	0	0	0	1	1	1
Gene1592	14	28	25	42	10	19	0	24	46	128	8	92	66	63	64	24	5	15
Gene1593	1268	402	956	1246	1276	519	1555	695	91	832	484	675	546	452	896	509	654	831
Gene1594	0	2	13	1	2	0	0	0	4	0	0	1	1	1	0	0	0	0
Gene1595	63	48	5	79	43	147	49	92	12	208	144	143	9	227	152	240	196	25
Gene1596	47	25	17	24	1	19	23	11	12	35	10	41	32	22	3	14	34	14
Gene1597	8	0	11	0	5	0	1	0	22	1	1	3	0	4	2	1	0	4
Gene1598	26	11	10	7	11	1	27	6	0	1	2	0	9	0	2	1	3	23
Gene1599	7	73	120	41	53	97	110	48	99	19	5	43	53	61	77	122	60	33
Gene1600	23	21	2	36	59	3	52	29	17	3	3	2	0	4	5	4	5	15
Gene1601	10	3	1	0	0	7	0	0	2	11	4	0	4	10	0	2	4	1
Gene1602	1	7	6	2	2	8	1	5	1	17	35	5	1	60	11	18	0	4
Gene1603	68	29	33	70	2	2	17	17	2	2	8	3	3	1	3	6	2	28
Gene1604	0	4	9	10	5	17	10	9	6	25	1	12	22	5	10	10	2	14
Gene1605	73	26	1	11	39	56	69	6	25	41	45	20	3	20	44	73	73	19
Gene1606	0	6	31	4	0	11	3	15	12	71	91	14	46	62	0	8	72	2
Gene1607	4	9	0	4	6	2	0	0	9	4	1	1	7	1	6	0	1	1
Gene1608	62	82	34	80	47	132	57	24	13	218	284	331	156	208	214	445	252	38
Gene1609	6	43	62	65	86	10	37	101	43	21	5	34	35	45	24	16	50	47
Gene1610	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	1	0	0
Gene1611	13	7	45	18	4	11	36	26	64	18	4	13	2	6	0	12	8	34
Gene1612	42	40	29	23	16	5	1	13	18	5	6	9	2	2	2	6	1	15
Gene1613	24	34	9	31	9	0	3	11	0	0	2	1	1	0	0	0	0	31
Gene1614	1	1	16	1	1	0	3	4	4	15	0	9	6	3	3	6	7	3
Gene1615	40	18	3	27	36	192	50	47	19	629	787	331	48	437	200	723	295	19
Gene1616	6	11	1	0	0	3	0	1	0	0	0	0	0	2	0	8	0	5
Gene1617	20	3	7	17	18	50	1	22	24	51	66	8	33	41	76	38	3	8
Gene1618	2	1	3	0	9	6	0	3	0	2	0	8	0	13	0	2	0	1
Gene1619	0	2	0	0	0	5	0	3	0	5	0	6	26	0	5	43	2	2
Gene1620	25	2	3	6	53	25	63	18	23	49	22	44	3	53	29	40	34	44
Gene1621	2	28	0	5	1	2	0	5	1	1	0	0	0	3	0	2	2	1
Gene1622	3	5	9	3	8	5	0	0	2	1	1	1	9	4	1	2	0	4
Gene1623	22	11	8	16	22	0	3	13	4	3	2	9	7	5	3	10	5	10
Gene1624	6	5	22	10	1	50	8	41	21	19	3	38	21	43	42	6	16	7
Gene1625	1672	1042	124	773	1408	671	2013	1368	858	876	456	414	69	724	1709	1555	1052	695
Gene1626	24	46	10	25	4	83	19	17	60	56	83	72	176	47	5	85	52	15
Gene1627	54	34	39	9	36	19	3	51	61	31	23	23	5	25	8	16	4	46
Gene1628	2	13	13	19	8	59	2	5	1	11	39	56	93	58	10	60	82	19
Gene1629	0	2	6	12	0	1	0	0	13	4	0	16	7	1	101	27	4	1
Gene1630	172	150	19	136	138	95	211	241	163	101	134	66	8	122	130	103	65	96
Gene1631	8	0	10	10	2	4	6	3	2	0	0	6	2	0	0	1	2	1
Gene1632	48	4	33	9	12	2	1	3	22	0	4	4	2	1	1	0	0	7
Gene1633	1	0	1	11	3	0	0	2	0	0	6	4	1	3	0	0	14	0
Gene1634	0	3	18	37	21	36	10	19	8	23	4	69	156	49	37	39	77	8
Gene1635	22	13	0	24	24	2	37	10	5	3	2	5	0	4	1	21	3	6
Gene1636	11	1	12	4	3	46	27	3	3	25	24	25	4	6	2	22	17	15
Gene1637	35	19	25	40	14	60	2	13	41	190	247	70	89	82	29	130	20	19
Gene1638	7	4	24	7	14	0	3	10	0	15	12	4	1	2	14	7	2	9
Gene1639	0	1	9	4	0	1	5	6	9	0	0	1	0	0	0	3	1	11
Gene1640	39	32	4	49	78	26	51	43	24	29	55	29	2	9	33	35	35	28
Gene1641	61	36	49	43	4	94	50	38	60	43	33	16	23	22	3	10	57	71
Gene1642	0	0	1	6	0	2	1	3	3	0	20	3	6	18	22	3	2	4
Gene1643	7	18	5	20	5	33	18	5	0	30	28	92	36	19	20	18	161	14
Gene1644	0	39	12	18	7	0	2	43	10	1	0	1	1	1	1	1	3	9
Gene1645	0	2	0	2	6	0	0	3	5	1	14	2	1	2	6	1	13	1
Gene1646	5	20	12	7	3	22	14	8	30	9	7	9	7	11	0	25	31	8
Gene1647	33	16	17	24	23	110	7	9	38	132	127	148	201	123	135	83	5	16
Gene1648	4	27	15	4	2	4	28	7	3	6	6	4	10	5	1	15	11	6
Gene1649	0	21	26	29	29	58	19	17	14	11	2	6	44	14	61	54	2	8
Gene1650	36	42	2	33	52	120	25	45	59	251	231	108	7	182	74	323	129	48
Gene1651	3	1	7	2	0	10	1	9	2	36	8	64	54	7	5	7	3	2
Gene1652	1	0	2	0	1	0	0	1	0	0	0	1	0	0	0	4	0	1
Gene1653	4	3	13	3	6	10	14	0	3	12	31	41	57	3	14	11	35	26
Gene1654	0	0	1	3	0	14	2	2	4	4	11	9	0	15	4	7	6	1
Gene1655	15	14	2	9	39	19	21	51	27	31	19	16	3	39	44	68	66	19
Gene1656	150	38	241	84	19	139	121	142	194	177	119	102	130	108	12	120	127	178
Gene1657	14	3	26	7	4	1	0	3	0	5	6	11	16	2	8	7	0	0
Gene1658	38	23	75	34	30	13	29	42	5	9	25	49	45	71	19	52	42	47
Gene1659	2	13	16	19	46	18	47	17	39	12	1	12	12	33	32	51	64	26
Gene1660	41	33	5	65	81	64	47	57	35	136	52	78	11	37	179	84	114	73
Gene1661	1	15	1	7	0	5	12	14	12	55	1	7	9	17	2	5	34	9
Gene1662	10	25	10	13	0	17	1	14	11	19	10	15	4	31	16	9	5	2
Gene1663	9	3	0	0	1	0	2	0	0	0	3	4	4	4	12	1	16	0
Gene1664	53	290	278	324	366	72	282	700	580	61	6	58	53	93	94	154	79	469
Gene1665	9	6	1	9	26	61	26	5	10	8	8	9	1	2	4	9	11	5
Gene1666	13	6	5	14	2	1	2	13	12	1	4	2	2	1	1	2	0	5
Gene1667	15	11	4	16	59	39	2	6	27	36	9	76	39	60	47	3	3	8
Gene1668	52	0	6	4	0	0	8	0	0	0	0	7	2	1	0	5	3	7
Gene1669	1	3	16	3	30	6	4	6	2	2	0	4	7	4	26	7	5	5
Gene1670	6	11	1	11	6	0	0	11	13	1	0	2	0	5	1	2	3	4
Gene1671	15	29	27	31	4	84	15	25	13	38	24	26	67	14	2	75	24	15
Gene1672	3	7	18	36	12	17	4	9	10	102	103	63	17	94	17	50	9	5
Gene1673	3	16	2	2	31	43	12	12	2	59	66	29	67	141	27	42	61	12
Gene1674	3	5	15	4	14	16	8	4	4	3	1	2	16	17	19	8	24	9
Gene1675	108	40	7	47	81	57	51	49	128	52	53	80	4	27	127	52	89	111
Gene1676	31	37	40	15	4	47	21	35	18	25	55	133	35	73	8	23	62	26
Gene1677	1	43	8	7	6	18	4	5	26	13	39	19	11	24	27	10	0	9
Gene1678	10	2	4	4	6	5	18	6	2	2	7	0	7	8	11	5	0	1
Gene1679	0	0	0	17	0	0	0	0	12	4	0	3	1	0	0	1	5	2
Gene1680	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Gene1681	96	152	97	61	10	104	170	70	61	214	79	291	275	121	16	82	262	120
Gene1682	101	157	89	190	252	109	9	32	99	223	135	175	207	189	94	320	41	48
Gene1683	27	38	70	60	31	27	10	8	1	21	69	52	52	21	26	62	19	63
Gene1684	1	7	14	2	15	301	6	12	14	216	49	167	357	358	454	342	269	23
Gene1685	18	20	0	17	12	22	24	32	34	10	48	3	1	19	13	11	23	26
Gene1686	1	13	3	8	1	26	6	6	3	19	15	20	6	25	0	8	11	4
